title	composed_in	revised_in	lyricist	label	file_name	genre	forces
Anecdotes & Reflections	1989			I. Allegro	anec_ref_1.mp3	Miscellaneous Chamber	"clarinet, violin, cello, piano"
Anecdotes & Reflections	1989			II. Moderato	gershwin_homage.mp3	Miscellaneous Chamber	"clarinet, violin, cello, piano"
Anecdotes & Reflections	1989			III. Allegro	day_sailing.mp3	Miscellaneous Chamber	"clarinet, violin, cello, piano"
Anecdotes & Reflections	1989			IV. Larghetto	anec_4th.mp3	Miscellaneous Chamber	"clarinet, violin, cello, piano"
Anecdotes & Reflections	1989			V. Lento	anec_ref.5.mp3	Miscellaneous Chamber	"clarinet, violin, cello, piano"
Anecdotes & Reflections	1989			VI. Tempo di marcia	sousa.mp3	Miscellaneous Chamber	"clarinet, violin, cello, piano"
Street Suite for violin & clarinet	1976			I. Woodhill Rd.	woodhill_road.mp3	Miscellaneous Chamber	"violin, clarinet"
Street Suite for violin & clarinet	1976			II. Brinkerhoff Boulevard	brinkerhoff_blvd.mp3	Miscellaneous Chamber	"violin, clarinet"
Street Suite for violin & clarinet	1976			III. Beethoven St.	beethoven_st.mp3	Miscellaneous Chamber	"violin, clarinet"
Street Suite for violin & clarinet	1976			IV. Park Ave. West	park.ave.mp3	Miscellaneous Chamber	"violin, clarinet"
Street Suite for violin & clarinet	1976			V. Glenwood Boulevard	st.suite.glenwood.mp3	Miscellaneous Chamber	"violin, clarinet"
Street Suite for violin & clarinet	1976			VI. Maplewood Ave.	maplewood.mp3	Miscellaneous Chamber	"violin, clarinet"
Street Suite for violin & clarinet	1976			VII. Davis Rd.	davis.road.mp3	Miscellaneous Chamber	"violin, clarinet"
Street Suite for violin & clarinet	1976			VIII. Pinecrest Dr.	pinecrest.mp3	Miscellaneous Chamber	"violin, clarinet"
Street Suite for violin & clarinet	1976			IX. West Second St.	w_2nd_st.mp3	Miscellaneous Chamber	"violin, clarinet"
Street Suite for violin & clarinet	1976			X. Marion Ave.	marion_ave.mp3	Miscellaneous Chamber	"violin, clarinet"
Daweswood Suite	1980			I. The Bud	daweswood_bud.mp3	Miscellaneous Chamber	"clarinet, violin, cello, piano"
Daweswood Suite	1980			II. The Blossom	sowash_blosssom.mp3	Miscellaneous Chamber	"clarinet, violin, cello, piano"
Daweswood Suite	1980			III. The Berry	berry_dawes.mp3	Miscellaneous Chamber	"clarinet, violin, cello, piano"
Piano Trio #1: Four Seasons in Bellville	1977			I. Winter	winter_bellville.mp3	Trio	"violin, cello, piano"
Piano Trio #1: Four Seasons in Bellville	1977			II. Spring	sowash_spring.mp3	Trio	"violin, cello, piano"
Piano Trio #1: Four Seasons in Bellville	1977			III. Summer	summer.mp3	Trio	"violin, cello, piano"
Piano Trio #1: Four Seasons in Bellville	1977			IV. Autumn	autumn.mp3	Trio	"violin, cello, piano"
Piano Trio #2: Orientale & Galop	1980			I. Orientale	orientale.mp3	Trio	"violin, cello, piano"
Piano Trio #2: Orientale & Galop	1980			II. Galop	trio2_galop.mp3	Trio	"violin, cello, piano"
Piano Trio #3:  A Christmas Divertimento	1983			I. Allegro	pnotrio_3_1.mp3	Trio	"violin, cello, piano"
Piano Trio #3:  A Christmas Divertimento	1983			II. Allegretto	pno.trio.3.2.mp3	Trio	"violin, cello, piano"
Piano Trio #3:  A Christmas Divertimento	1983			III. Moderato	pnotrio3.3.mp3	Trio	"violin, cello, piano"
Piano Trio #3:  A Christmas Divertimento	1983			IV. Allegro vigoroso	pno.trio.3.4.mp3	Trio	"violin, cello, piano"
Piano Trio #3:  A Christmas Divertimento	1983			V. Lento	pno.trio.3.5.mp3	Trio	"violin, cello, piano"
Piano Trio #3:  A Christmas Divertimento	1983			VI. Moderato espressivo	pnotrio_3_6.mp3	Trio	"violin, cello, piano"
Piano Trio #3:  A Christmas Divertimento	1983			VII. Variations on the Boar’s Head Carol	boars_head.mp3	Trio	"violin, cello, piano"
Piano Trio #4	1983	1989		I. Presto tempesto	pnotrio4.1.mp3	Trio	"violin, cello, piano"
Piano Trio #4	1983	1989		"II. Adagio, molto espressivo"	pnotrio_4_adagio.mp3	Trio	"violin, cello, piano"
"Trio #4 for clarinet, cello & piano:  Conversation of the Trees"	2002			I. Allegretto	convers_trees_1.mp3	Trio	"clarinet, cello, piano"
"Trio #4 for clarinet, cello & piano:  Conversation of the Trees"	2002			II. Moderato	convers_trees_2.mp3	Trio	"clarinet, cello, piano"
"Trio #4 for clarinet, cello & piano:  Conversation of the Trees"	2002			III. Allegro	convers_trees_3.mp3	Trio	"clarinet, cello, piano"
"Trio #4 for clarinet, cello & piano:  Conversation of the Trees"	2002			IV. Largo	convers_trees_4.mp3	Trio	"clarinet, cello, piano"
"Trio #4 for clarinet, cello & piano:  Conversation of the Trees"	2002			V. Allegro	convers_trees_5.mp3	Trio	"clarinet, cello, piano"
"Trio #6 for clarinet, cello & piano: Goddess of the Moon"	2002			I. Prologue	three_nocturnes.mp3	Trio	"clarinet, cello, piano"
"Trio #6 for clarinet, cello & piano: Goddess of the Moon"	2002			II. Nocturne	trio_6_nocturne.mp3	Trio	"clarinet, cello, piano"
"Trio #6 for clarinet, cello & piano: Goddess of the Moon"	2002			III. Interlude	three_nocturnes.mp3	Trio	"clarinet, cello, piano"
"Trio #6 for clarinet, cello & piano: Goddess of the Moon"	2002			IV. Scherzo	trio_6_scherzo.mp3	Trio	"clarinet, cello, piano"
"Trio #6 for clarinet, cello & piano: Goddess of the Moon"	2002			V. Epilogue	three_nocturnes.mp3	Trio	"clarinet, cello, piano"
"Trio #9 for clarinet, cello & piano: Five Women"	2003			I. Bernice: merry & mystical	trio.9.bernice.mp3	Trio	"clarinet, cello, piano"
"Trio #9 for clarinet, cello & piano: Five Women"	2003			II. Claire: in the process of becoming	claire_becoming.mp3	Trio	"clarinet, cello, piano"
"Trio #9 for clarinet, cello & piano: Five Women"	2003			III. Jo: mother of our children	mother.children.mp3	Trio	"clarinet, cello, piano"
"Trio #9 for clarinet, cello & piano: Five Women"	2003			IV. Diane: beautiful & sad	diane.mp3	Trio	"clarinet, cello, piano"
"Trio #9 for clarinet, cello & piano: Five Women"	2003			V. The Vitality of Emile	vitality.mp3	Trio	"clarinet, cello, piano"
Sonata for Cello & Piano	1990			I. Moderato	cello_sonata_1.mp3	Sonata	"cello, piano"
Sonata for Cello & Piano	1990			II. Largo religioso	Largo_Relig.mp3	Sonata	"cello, piano"
Sonata for Cello & Piano	1990			III. Allegro energico	cello_sta_3rdmovt.mp3	Sonata	"cello, piano"
"Trio #1 for Flute, Cello & Piano: Seasonal Breezes"	2014			I. Spring Breeze	spring.breeze.mp3	Trio	"flute, cello, piano"
"Trio #1 for Flute, Cello & Piano: Seasonal Breezes"	2014			II. Summer Breeze	summer.breeze.mp3	Trio	"flute, cello, piano"
"Trio #1 for Flute, Cello & Piano: Seasonal Breezes"	2014			III. Autumn Breeze	autumn.breeze.mp3	Trio	"flute, cello, piano"
"Trio #1 for Flute, Cello & Piano: Seasonal Breezes"	2014			IV. Winter Breeze	winter.breeze.mp3	Trio	"flute, cello, piano"
Dark Forest Suite for Cello & Piano	1988	2013		I. Ballad of Red Fox	ballad.red.fox.mp3	Miscellaneous Chamber	"cello, piano"
